Table Code,State Code,Area Name,Total/Rural/Urban,Female Main Workers/Marginal Workers,Marital Status,Female - Population,Total Female - Main/Marginal Workers,A - Cultivators,,A - Agricultural Labourers,"A - Plantation, Livestock, Forestry, Fishing, Hunting and Allied Activities",B,C - HHI,C - Non HHI,D & E,F,G - HHI,G - Non HHI,H,I,J - HHI,J - Non HHI,K to M,N to O,P to Q,R to U - HHI,R to U - Non HHI
B1717,6,State - Haryana,Total,Total Female Workers,Total,2109872,2108610,691679,,486892,170161,471,48297,103587,2398,48346,111,37846,9382,3416,128,6709,14582,65462,196454,25669,197020
B1717,6,State - Haryana,Total,Total Female Workers,Never Married,218479,217554,51638,,41765,8147,43,4086,16541,310,4044,22,4301,1318,384,24,2392,3274,13140,19623,3135,43367
B1717,6,State - Haryana,Total,Total Female Workers,Married,1704053,1704723,588121,,401840,151574,360,40145,77892,1457,36248,85,27813,6649,2297,98,4026,10000,44356,155578,20586,135598
B1717,6,State - Haryana,Total,Total Female Workers,Widowed,177836,176771,50859,,41377,10064,60,3853,8258,607,7646,4,5339,1320,684,6,227,1130,7349,19249,1877,16862
B1717,6,State - Haryana,Total,Total Female Workers,Separated,6410,6443,808,,1520,270,8,153,626,16,313,0,278,57,40,0,10,75,329,1109,32,799
B1717,6,State - Haryana,Total,Total Female Workers,Divorced,3094,3119,253,,390,106,0,60,270,8,95,0,115,38,11,0,54,103,288,895,39,394
B1717,6,State - Haryana,Total,Main Workers,Total,1154683,1154747,330528,,172829,87716,329,26345,71583,2258,28535,108,30601,8319,2860,121,6444,13832,61404,183864,14730,112341
B1717,6,State - Haryana,Total,Main Workers,Never Married,107756,107510,16608,,12769,2042,33,2005,10983,299,2586,22,3560,1162,343,24,2290,3062,12255,16896,1575,18996
B1717,6,State - Haryana,Total,Main Workers,Married,923964,924901,281674,,140476,79667,256,21832,53429,1358,21144,82,22242,5844,1981,93,3867,9499,41597,146936,11903,81021
B1717,6,State - Haryana,Total,Main Workers,Widowed,116263,115585,31652,,18758,5795,38,2367,6504,577,4568,4,4464,1230,504,4,225,1101,6977,18147,1207,11463
B1717,6,State - Haryana,Total,Main Workers,Separated,4308,4358,442,,652,174,2,99,464,16,182,0,238,45,23,0,10,69,309,1049,22,562
B1717,6,State - Haryana,Total,Main Workers,Divorced,2392,2393,152,,174,38,0,42,203,8,55,0,97,38,9,0,52,101,266,836,23,299
B1717,6,State - Haryana,Total,Marginal Workers,Total,955189,953863,361151,,314063,82445,142,21952,32004,140,19811,3,7245,1063,556,7,265,750,4058,12590,10939,84679
B1717,6,State - Haryana,Total,Marginal Workers,Never Married,110723,110044,35030,,28996,6105,10,2081,5558,11,1458,0,741,156,41,0,102,212,885,2727,1560,24371
B1717,6,State - Haryana,Total,Marginal Workers,Married,780089,779822,306447,,261364,71907,104,18313,24463,99,15104,3,5571,805,316,5,159,501,2759,8642,8683,54577
B1717,6,State - Haryana,Total,Marginal Workers,Widowed,61573,61186,19207,,22619,4269,22,1486,1754,30,3078,0,875,90,180,2,2,29,372,1102,670,5399
B1717,6,State - Haryana,Total,Marginal Workers,Separated,2102,2085,366,,868,96,6,54,162,0,131,0,40,12,17,0,0,6,20,60,10,237
B1717,6,State - Haryana,Total,Marginal Workers,Divorced,702,726,101,,216,68,0,18,67,0,40,0,18,0,2,0,2,2,22,59,16,95
B1717,6,State - Haryana,Rural,Total Female Workers,Total,1610898,1609097,677365,,462056,160966,364,35608,58978,972,23896,24,13112,3598,954,12,432,1734,12450,69198,14768,72610
B1717,6,State - Haryana,Rural,Total Female Workers,Never Married,135142,135002,49941,,39773,7748,40,2732,10076,140,1860,6,1026,572,64,0,168,338,1966,4872,1544,12136
B1717,6,State - Haryana,Rural,Total Female Workers,Married,1343640,1342430,577084,,382982,144222,264,30430,45842,544,18110,16,10326,2604,642,10,236,1022,8256,53342,12166,54332
B1717,6,State - Haryana,Rural,Total Female Workers,Widowed,127424,126988,49337,,37595,8672,52,2360,2772,286,3740,2,1690,390,244,2,28,350,2126,10454,1016,5872
B1717,6,State - Haryana,Rural,Total Female Workers,Separated,3557,3561,766,,1367,236,8,74,210,2,150,0,52,22,4,0,0,18,68,376,20,188
B1717,6,State - Haryana,Rural,Total Female Workers,Divorced,1135,1116,237,,339,88,0,12,78,0,36,0,18,10,0,0,0,6,34,154,22,82
B1717,6,State - Haryana,Rural,Main Workers,Total,763217,762973,322039,,160376,81676,228,16900,34740,884,11512,24,9428,2908,698,10,378,1630,11342,62916,7616,37668
B1717,6,State - Haryana,Rural,Main Workers,Never Married,49603,50129,15803,,11772,1884,30,1016,5724,140,1034,6,728,448,54,0,144,302,1840,3946,616,4642
B1717,6,State - Haryana,Rural,Main Workers,Married,635468,635000,275182,,131232,74840,162,14610,26970,478,8548,16,7316,2088,470,10,206,964,7430,48786,6374,29318
B1717,6,State - Haryana,Rural,Main Workers,Widowed,75493,75222,30493,,16655,4772,34,1238,1876,264,1848,2,1330,348,172,0,28,346,1978,9674,606,3558
B1717,6,State - Haryana,Rural,Main Workers,Separated,1969,1959,421,,574,152,2,30,114,2,66,0,36,14,2,0,0,12,62,362,10,100
B1717,6,State - Haryana,Rural,Main Workers,Divorced,684,663,140,,143,28,0,6,56,0,16,0,18,10,0,0,0,6,32,148,10,50
B1717,6,State - Haryana,Rural,Marginal Workers,Total,847681,846124,355326,,301680,79290,136,18708,24238,88,12384,0,3684,690,256,2,54,104,1108,6282,7152,34942
B1717,6,State - Haryana,Rural,Marginal Workers,Never Married,85539,84873,34138,,28001,5864,10,1716,4352,0,826,0,298,124,10,0,24,36,126,926,928,7494
B1717,6,State - Haryana,Rural,Marginal Workers,Married,708172,707430,301902,,251750,69382,102,15820,18872,66,9562,0,3010,516,172,0,30,58,826,4556,5792,25014
B1717,6,State - Haryana,Rural,Marginal Workers,Widowed,51931,51766,18844,,20940,3900,18,1122,896,22,1892,0,360,42,72,2,0,4,148,780,410,2314
B1717,6,State - Haryana,Rural,Marginal Workers,Separated,1588,1602,345,,793,84,6,44,96,0,84,0,16,8,2,0,0,6,6,14,10,88
B1717,6,State - Haryana,Rural,Marginal Workers,Divorced,451,453,97,,196,60,0,6,22,0,20,0,0,0,0,0,0,0,2,6,12,32
B1717,6,State - Haryana,Urban,Total Female Workers,Total,498974,499513,14314,,24836,9195,107,12689,44609,1426,24450,87,24734,5784,2462,116,6277,12848,53012,127256,10901,124410
B1717,6,State - Haryana,Urban,Total Female Workers,Never Married,83337,82552,1697,,1992,399,3,1354,6465,170,2184,16,3275,746,320,24,2224,2936,11174,14751,1591,31231
B1717,6,State - Haryana,Urban,Total Female Workers,Married,360413,362293,11037,,18858,7352,96,9715,32050,913,18138,69,17487,4045,1655,88,3790,8978,36100,102236,8420,81266
B1717,6,State - Haryana,Urban,Total Female Workers,Widowed,50412,49783,1522,,3782,1392,8,1493,5486,321,3906,2,3649,930,440,4,199,780,5223,8795,861,10990
B1717,6,State - Haryana,Urban,Total Female Workers,Separated,2853,2882,42,,153,34,0,79,416,14,163,0,226,35,36,0,10,57,261,733,12,611
B1717,6,State - Haryana,Urban,Total Female Workers,Divorced,1959,2003,16,,51,18,0,48,192,8,59,0,97,28,11,0,54,97,254,741,17,312
B1717,6,State - Haryana,Urban,Main Workers,Total,391466,391774,8489,,12453,6040,101,9445,36843,1374,17023,84,21173,5411,2162,111,6066,12202,50062,120948,7114,74673
B1717,6,State - Haryana,Urban,Main Workers,Never Married,58153,57381,805,,997,158,3,989,5259,159,1552,16,2832,714,289,24,2146,2760,10415,12950,959,14354
B1717,6,State - Haryana,Urban,Main Workers,Married,288496,289901,6492,,9244,4827,94,7222,26459,880,12596,66,14926,3756,1511,83,3661,8535,34167,98150,5529,51703
B1717,6,State - Haryana,Urban,Main Workers,Widowed,40770,40363,1159,,2103,1023,4,1129,4628,313,2720,2,3134,882,332,4,197,755,4999,8473,601,7905
B1717,6,State - Haryana,Urban,Main Workers,Separated,2339,2399,21,,78,22,0,69,350,14,116,0,202,31,21,0,10,57,247,687,12,462
B1717,6,State - Haryana,Urban,Main Workers,Divorced,1708,1730,12,,31,10,0,36,147,8,39,0,79,28,9,0,52,95,234,688,13,249
B1717,6,State - Haryana,Urban,Marginal Workers,Total,107508,107739,5825,,12383,3155,6,3244,7766,52,7427,3,3561,373,300,5,211,646,2950,6308,3787,49737
B1717,6,State - Haryana,Urban,Marginal Workers,Never Married,25184,25171,892,,995,241,0,365,1206,11,632,0,443,32,31,0,78,176,759,1801,632,16877
B1717,6,State - Haryana,Urban,Marginal Workers,Married,71917,72392,4545,,9614,2525,2,2493,5591,33,5542,3,2561,289,144,5,129,443,1933,4086,2891,29563
B1717,6,State - Haryana,Urban,Marginal Workers,Widowed,9642,9420,363,,1679,369,4,364,858,8,1186,0,515,48,108,0,2,25,224,322,260,3085
B1717,6,State - Haryana,Urban,Marginal Workers,Separated,514,483,21,,75,12,0,10,66,0,47,0,24,4,15,0,0,0,14,46,0,149
B1717,6,State - Haryana,Urban,Marginal Workers,Divorced,251,273,4,,20,8,0,12,45,0,20,0,18,0,2,0,2,2,20,53,4,63
B1717,7,State - NCT of Delhi,Total,Total Female Workers,Total,825023,825617,5940,,8123,2322,54,19148,74955,7050,25759,119,63716,13777,7728,232,22766,41717,156784,205627,9757,160043
B1717,7,State - NCT of Delhi,Total,Total Female Workers,Never Married,177157,177732,1108,,882,79,0,3742,13283,806,1847,34,11946,3534,1812,40,8872,12487,43051,35483,1658,37068
B1717,7,State - NCT of Delhi,Total,Total Female Workers,Married,542169,542137,4028,,6075,1763,44,12943,45956,4405,19888,61,40269,8262,4399,177,12540,26668,96092,152876,6990,98701
B1717,7,State - NCT of Delhi,Total,Total Female Workers,Widowed,91594,91714,756,,1098,461,10,2230,13792,1671,3724,22,10217,1797,1364,15,1071,1936,15382,13944,950,21274
B1717,7,State - NCT of Delhi,Total,Total Female Workers,Separated,8686,8463,34,,52,16,0,166,1347,114,211,2,766,115,82,0,130,323,1196,1792,98,2019
B1717,7,State - NCT of Delhi,Total,Total Female Workers,Divorced,5417,5571,14,,16,3,0,67,577,54,89,0,518,69,71,0,153,303,1063,1532,61,981
B1717,7,State - NCT of Delhi,Total,Main Workers,Total,744619,744666,3534,,5842,1831,51,15112,64019,6405,21151,106,59267,13191,7271,217,21965,40261,151354,196855,7535,128699
B1717,7,State - NCT of Delhi,Total,Main Workers,Never Married,155485,155646,551,,655,51,0,2623,10776,698,1580,34,11072,3361,1716,40,8474,11961,41135,32670,1207,27042
B1717,7,State - NCT of Delhi,Total,Main Workers,Married,492173,492039,2372,,4377,1370,41,10489,39218,4003,16210,56,37448,7886,4141,162,12177,25835,93099,147508,5406,80241
B1717,7,State - NCT of Delhi,Total,Main Workers,Widowed,83898,83945,578,,760,394,10,1821,12297,1553,3109,14,9532,1760,1268,15,1041,1870,14926,13485,793,18719
B1717,7,State - NCT of Delhi,Total,Main Workers,Separated,7975,7789,27,,37,13,0,128,1197,102,175,2,719,115,78,0,123,308,1161,1718,75,1811
B1717,7,State - NCT of Delhi,Total,Main Workers,Divorced,5088,5247,6,,13,3,0,51,531,49,77,0,496,69,68,0,150,287,1033,1474,54,886
B1717,7,State - NCT of Delhi,Total,Marginal Workers,Total,80404,80951,2406,,2281,491,3,4036,10936,645,4608,13,4449,586,457,15,801,1456,5430,8772,2222,31344
B1717,7,State - NCT of Delhi,Total,Marginal Workers,Never Married,21672,22086,557,,227,28,0,1119,2507,108,267,0,874,173,96,0,398,526,1916,2813,451,10026
B1717,7,State - NCT of Delhi,Total,Marginal Workers,Married,49996,50098,1656,,1698,393,3,2454,6738,402,3678,5,2821,376,258,15,363,833,2993,5368,1584,18460
B1717,7,State - NCT of Delhi,Total,Marginal Workers,Widowed,7696,7769,178,,338,67,0,409,1495,118,615,8,685,37,96,0,30,66,456,459,157,2555
B1717,7,State - NCT of Delhi,Total,Marginal Workers,Separated,711,674,7,,15,3,0,38,150,12,36,0,47,0,4,0,7,15,35,74,23,208
B1717,7,State - NCT of Delhi,Total,Marginal Workers,Divorced,329,324,8,,3,0,0,16,46,5,12,0,22,0,3,0,3,16,30,58,7,95
B1717,7,State - NCT of Delhi,Rural,Total Female Workers,Total,18727,18658,2334,,2055,836,0,674,2167,103,1735,2,1136,161,205,3,95,188,1797,3082,188,1897
B1717,7,State - NCT of Delhi,Rural,Total Female Workers,Never Married,1980,1980,185,,123,31,0,64,254,0,63,0,86,23,18,0,45,23,219,490,15,341
B1717,7,State - NCT of Delhi,Rural,Total Female Workers,Married,13995,13909,1793,,1574,699,0,545,1547,51,1470,0,870,96,173,2,43,135,1201,2282,160,1268
B1717,7,State - NCT of Delhi,Rural,Total Female Workers,Widowed,2560,2616,347,,343,106,0,60,327,50,200,2,169,42,11,1,6,20,357,300,13,262
B1717,7,State - NCT of Delhi,Rural,Total Female Workers,Separated,141,121,8,,15,0,0,3,31,0,2,0,7,0,3,0,1,2,16,9,0,24
B1717,7,State - NCT of Delhi,Rural,Total Female Workers,Divorced,51,32,1,,0,0,0,2,8,2,0,0,4,0,0,0,0,8,4,1,0,2
B1717,7,State - NCT of Delhi,Rural,Main Workers,Total,14942,15025,1485,,1288,589,0,474,1971,93,1376,2,990,146,175,3,89,177,1728,2925,77,1437
B1717,7,State - NCT of Delhi,Rural,Main Workers,Never Married,1558,1593,151,,72,13,0,52,207,0,55,0,78,17,14,0,45,23,204,444,8,210
B1717,7,State - NCT of Delhi,Rural,Main Workers,Married,11038,11087,1064,,983,509,0,377,1421,45,1143,0,757,88,147,2,37,130,1158,2180,62,984
B1717,7,State - NCT of Delhi,Rural,Main Workers,Widowed,2173,2214,263,,223,67,0,42,304,48,176,2,145,41,11,1,6,20,346,292,7,220
B1717,7,State - NCT of Delhi,Rural,Main Workers,Separated,128,112,6,,10,0,0,3,31,0,2,0,7,0,3,0,1,2,16,8,0,23
B1717,7,State - NCT of Delhi,Rural,Main Workers,Divorced,45,19,1,,0,0,0,0,8,0,0,0,3,0,0,0,0,2,4,1,0,0
B1717,7,State - NCT of Delhi,Rural,Marginal Workers,Total,3785,3633,849,,767,247,0,200,196,10,359,0,146,15,30,0,6,11,69,157,111,460
B1717,7,State - NCT of Delhi,Rural,Marginal Workers,Never Married,422,387,34,,51,18,0,12,47,0,8,0,8,6,4,0,0,0,15,46,7,131
B1717,7,State - NCT of Delhi,Rural,Marginal Workers,Married,2957,2822,729,,591,190,0,168,126,6,327,0,113,8,26,0,6,5,43,102,98,284
B1717,7,State - NCT of Delhi,Rural,Marginal Workers,Widowed,387,402,84,,120,39,0,18,23,2,24,0,24,1,0,0,0,0,11,8,6,42
B1717,7,State - NCT of Delhi,Rural,Marginal Workers,Separated,13,9,2,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
B1717,7,State - NCT of Delhi,Rural,Marginal Workers,Divorced,6,13,0,,0,0,0,2,0,2,0,0,1,0,0,0,0,6,0,0,0,2
B1717,7,State - NCT of Delhi,Urban,Total Female Workers,Total,806296,806959,3606,,6068,1486,54,18474,72788,6947,24024,117,62580,13616,7523,229,22671,41529,154987,202545,9569,158146
B1717,7,State - NCT of Delhi,Urban,Total Female Workers,Never Married,175177,175752,923,,759,48,0,3678,13029,806,1784,34,11860,3511,1794,40,8827,12464,42832,34993,1643,36727
B1717,7,State - NCT of Delhi,Urban,Total Female Workers,Married,528174,528228,2235,,4501,1064,44,12398,44409,4354,18418,61,39399,8166,4226,175,12497,26533,94891,150594,6830,97433
B1717,7,State - NCT of Delhi,Urban,Total Female Workers,Widowed,89034,89098,409,,755,355,10,2170,13465,1621,3524,20,10048,1755,1353,14,1065,1916,15025,13644,937,21012
B1717,7,State - NCT of Delhi,Urban,Total Female Workers,Separated,8545,8342,26,,37,16,0,163,1316,114,209,2,759,115,79,0,129,321,1180,1783,98,1995
B1717,7,State - NCT of Delhi,Urban,Total Female Workers,Divorced,5366,5539,13,,16,3,0,65,569,52,89,0,514,69,71,0,153,295,1059,1531,61,979
B1717,7,State - NCT of Delhi,Urban,Main Workers,Total,729677,729641,2049,,4554,1242,51,14638,62048,6312,19775,104,58277,13045,7096,214,21876,40084,149626,193930,7458,127262
B1717,7,State - NCT of Delhi,Urban,Main Workers,Never Married,153927,154053,400,,583,38,0,2571,10569,698,1525,34,10994,3344,1702,40,8429,11938,40931,32226,1199,26832
B1717,7,State - NCT of Delhi,Urban,Main Workers,Married,481135,480952,1308,,3394,861,41,10112,37797,3958,15067,56,36691,7798,3994,160,12140,25705,91941,145328,5344,79257
B1717,7,State - NCT of Delhi,Urban,Main Workers,Widowed,81725,81731,315,,537,327,10,1779,11993,1505,2933,12,9387,1719,1257,14,1035,1850,14580,13193,786,18499
B1717,7,State - NCT of Delhi,Urban,Main Workers,Separated,7847,7677,21,,27,13,0,125,1166,102,173,2,712,115,75,0,122,306,1145,1710,75,1788
B1717,7,State - NCT of Delhi,Urban,Main Workers,Divorced,5043,5228,5,,13,3,0,51,523,49,77,0,493,69,68,0,150,285,1029,1473,54,886
B1717,7,State - NCT of Delhi,Urban,Marginal Workers,Total,76619,77318,1557,,1514,244,3,3836,10740,635,4249,13,4303,571,427,15,795,1445,5361,8615,2111,30884
B1717,7,State - NCT of Delhi,Urban,Marginal Workers,Never Married,21250,21699,523,,176,10,0,1107,2460,108,259,0,866,167,92,0,398,526,1901,2767,444,9895
B1717,7,State - NCT of Delhi,Urban,Marginal Workers,Married,47039,47276,927,,1107,203,3,2286,6612,396,3351,5,2708,368,232,15,357,828,2950,5266,1486,18176
B1717,7,State - NCT of Delhi,Urban,Marginal Workers,Widowed,7309,7367,94,,218,28,0,391,1472,116,591,8,661,36,96,0,30,66,445,451,151,2513
B1717,7,State - NCT of Delhi,Urban,Marginal Workers,Separated,698,665,5,,10,3,0,38,150,12,36,0,47,0,4,0,7,15,35,73,23,207
B1717,7,State - NCT of Delhi,Urban,Marginal Workers,Divorced,323,311,8,,3,0,0,14,46,3,12,0,21,0,3,0,3,10,30,58,7,93
B1717,8,State - Rajasthan,Total,Total Female Workers,Total,11589179,11591525,6100384,,2806995,588634,27096,218029,246440,12413,572492,88,118397,15239,14046,63,3911,17055,71027,357413,67854,353949
B1717,8,State - Rajasthan,Total,Total Female Workers,Never Married,1211400,1212571,557141,,310745,90832,3083,31612,41465,1066,41149,9,12222,1922,1237,5,1440,4067,9442,29482,10014,65638
B1717,8,State - Rajasthan,Total,Total Female Workers,Married,9619327,9620557,5209375,,2315381,469045,21363,173293,182072,8646,475278,69,91766,10542,9407,53,2162,11720,49177,281387,53666,256155
B1717,8,State - Rajasthan,Total,Total Female Workers,Widowed,703210,703012,319571,,164488,26914,2330,11882,19624,2580,50832,10,13015,2605,3028,5,278,1120,11493,40166,3840,29231
B1717,8,State - Rajasthan,Total,Total Female Workers,Separated,42275,42575,11679,,13407,1430,270,895,2197,94,4252,0,1030,121,280,0,14,69,595,3888,231,2123
B1717,8,State - Rajasthan,Total,Total Female Workers,Divorced,12967,12810,2618,,2974,413,50,347,1082,27,981,0,364,49,94,0,17,79,320,2490,103,802
B1717,8,State - Rajasthan,Total,Main Workers,Total,5814431,5817068,3479596,,914265,251806,18387,112152,157884,9503,131811,68,81839,12947,10668,45,3652,15843,62592,336701,31673,185636
B1717,8,State - Rajasthan,Total,Main Workers,Never Married,404203,405013,175961,,72608,25188,1799,14238,23506,722,12162,5,7554,1465,880,4,1365,3772,8335,25278,3702,26469
B1717,8,State - Rajasthan,Total,Main Workers,Married,4972919,4975110,3095442,,771979,212399,14607,90425,117467,6327,100221,55,62901,8898,7101,39,1989,10862,42799,267074,25791,138734
B1717,8,State - Rajasthan,Total,Main Workers,Widowed,404862,404461,199136,,63231,13229,1763,6737,14624,2358,17491,8,10290,2450,2383,2,270,1073,10631,38323,1991,18471
B1717,8,State - Rajasthan,Total,Main Workers,Separated,24105,24365,7455,,5299,770,184,514,1562,74,1556,0,818,90,234,0,11,65,534,3653,126,1420
B1717,8,State - Rajasthan,Total,Main Workers,Divorced,8342,8119,1602,,1148,220,34,238,725,22,381,0,276,44,70,0,17,71,293,2373,63,542
B1717,8,State - Rajasthan,Total,Marginal Workers,Total,5774748,5774457,2620788,,1892730,336828,8709,105877,88556,2910,440681,20,36558,2292,3378,18,259,1212,8435,20712,36181,168313
B1717,8,State - Rajasthan,Total,Marginal Workers,Never Married,807197,807558,381180,,238137,65644,1284,17374,17959,344,28987,4,4668,457,357,1,75,295,1107,4204,6312,39169
B1717,8,State - Rajasthan,Total,Marginal Workers,Married,4646408,4645447,2113933,,1543402,256646,6756,82868,64605,2319,375057,14,28865,1644,2306,14,173,858,6378,14313,27875,117421
B1717,8,State - Rajasthan,Total,Marginal Workers,Widowed,298348,298551,120435,,101257,13685,567,5145,5000,222,33341,2,2725,155,645,3,8,47,862,1843,1849,10760
B1717,8,State - Rajasthan,Total,Marginal Workers,Separated,18170,18210,4224,,8108,660,86,381,635,20,2696,0,212,31,46,0,3,4,61,235,105,703
B1717,8,State - Rajasthan,Total,Marginal Workers,Divorced,4625,4691,1016,,1826,193,16,109,357,5,600,0,88,5,24,0,0,8,27,117,40,260
B1717,8,State - Rajasthan,Rural,Total Female Workers,Total,10609764,10610194,6008209,,2720774,554948,21225,149140,124723,6045,499661,25,65020,6207,6191,14,439,2157,22542,172684,48966,201224
B1717,8,State - Rajasthan,Rural,Total Female Workers,Never Married,1085745,1086695,551192,,303862,89010,2609,20855,22408,481,35651,0,6446,977,571,1,79,363,2133,8474,7349,34234
B1717,8,State - Rajasthan,Rural,Total Female Workers,Married,8883559,8882804,5129756,,2244620,440156,16718,121033,94791,4605,420360,25,52886,4603,4308,12,311,1576,17401,137600,38925,153118
B1717,8,State - Rajasthan,Rural,Total Female Workers,Widowed,598786,598849,313251,,156648,24129,1651,6643,6383,914,39630,0,5196,569,1214,1,46,203,2764,24115,2549,12943
B1717,8,State - Rajasthan,Rural,Total Female Workers,Separated,33695,33835,11472,,12840,1301,217,481,881,38,3318,0,383,51,84,0,3,9,185,1733,103,736
B1717,8,State - Rajasthan,Rural,Total Female Workers,Divorced,7979,8011,2538,,2804,352,30,128,260,7,702,0,109,7,14,0,0,6,59,762,40,193
B1717,8,State - Rajasthan,Rural,Main Workers,Total,5103506,5104084,3419267,,880055,231492,14077,64949,70180,4022,83027,23,37777,4664,4606,6,350,1866,18009,161414,19468,88832
B1717,8,State - Rajasthan,Rural,Main Workers,Never Married,319568,320377,173530,,70163,24379,1436,7011,10476,220,8403,0,2919,598,372,0,69,324,1585,6868,2070,9954
B1717,8,State - Rajasthan,Rural,Main Workers,Married,4440287,4440067,3042463,,744394,194940,11269,54658,54885,2974,63953,23,30892,3539,3155,6,239,1336,13846,129275,16264,71956
B1717,8,State - Rajasthan,Rural,Main Workers,Widowed,322108,322013,194418,,59411,11304,1197,2979,4112,794,9599,0,3639,490,994,0,42,193,2370,22911,1083,6477
B1717,8,State - Rajasthan,Rural,Main Workers,Separated,17383,17443,7311,,5029,688,154,230,559,29,906,0,247,33,74,0,0,9,157,1629,35,353
B1717,8,State - Rajasthan,Rural,Main Workers,Divorced,4160,4184,1545,,1058,181,21,71,148,5,166,0,80,4,11,0,0,4,51,731,16,92
B1717,8,State - Rajasthan,Rural,Marginal Workers,Total,5506258,5506110,2588942,,1840719,323456,7148,84191,54543,2023,416634,2,27243,1543,1585,8,89,291,4533,11270,29498,112392
B1717,8,State - Rajasthan,Rural,Marginal Workers,Never Married,766177,766318,377662,,233699,64631,1173,13844,11932,261,27248,0,3527,379,199,1,10,39,548,1606,5279,24280
B1717,8,State - Rajasthan,Rural,Marginal Workers,Married,4443272,4442737,2087293,,1500226,245216,5449,66375,39906,1631,356407,2,21994,1064,1153,6,72,240,3555,8325,22661,81162
B1717,8,State - Rajasthan,Rural,Marginal Workers,Widowed,276678,276836,118833,,97237,12825,454,3664,2271,120,30031,0,1557,79,220,1,4,10,394,1204,1466,6466
B1717,8,State - Rajasthan,Rural,Marginal Workers,Separated,16312,16392,4161,,7811,613,63,251,322,9,2412,0,136,18,10,0,3,0,28,104,68,383
B1717,8,State - Rajasthan,Rural,Marginal Workers,Divorced,3819,3827,993,,1746,171,9,57,112,2,536,0,29,3,3,0,0,2,8,31,24,101
B1717,8,State - Rajasthan,Urban,Total Female Workers,Total,979415,981331,92175,,86221,33686,5871,68889,121717,6368,72831,63,53377,9032,7855,49,3472,14898,48485,184729,18888,152725
B1717,8,State - Rajasthan,Urban,Total Female Workers,Never Married,125655,125876,5949,,6883,1822,474,10757,19057,585,5498,9,5776,945,666,4,1361,3704,7309,21008,2665,31404
B1717,8,State - Rajasthan,Urban,Total Female Workers,Married,735768,737753,79619,,70761,28889,4645,52260,87281,4041,54918,44,38880,5939,5099,41,1851,10144,31776,143787,14741,103037
B1717,8,State - Rajasthan,Urban,Total Female Workers,Widowed,104424,104163,6320,,7840,2785,679,5239,13241,1666,11202,10,7819,2036,1814,4,232,917,8729,16051,1291,16288
B1717,8,State - Rajasthan,Urban,Total Female Workers,Separated,8580,8740,207,,567,129,53,414,1316,56,934,0,647,70,196,0,11,60,410,2155,128,1387
B1717,8,State - Rajasthan,Urban,Total Female Workers,Divorced,4988,4799,80,,170,61,20,219,822,20,279,0,255,42,80,0,17,73,261,1728,63,609
B1717,8,State - Rajasthan,Urban,Main Workers,Total,710925,712984,60329,,34210,20314,4310,47203,87704,5481,48784,45,44062,8283,6062,39,3302,13977,44583,175287,12205,96804
B1717,8,State - Rajasthan,Urban,Main Workers,Never Married,84635,84636,2431,,2445,809,363,7227,13030,502,3759,5,4635,867,508,4,1296,3448,6750,18410,1632,16515
B1717,8,State - Rajasthan,Urban,Main Workers,Married,532632,535043,52979,,27585,17459,3338,35767,62582,3353,36268,32,32009,5359,3946,33,1750,9526,28953,137799,9527,66778
B1717,8,State - Rajasthan,Urban,Main Workers,Widowed,82754,82448,4718,,3820,1925,566,3758,10512,1564,7892,8,6651,1960,1389,2,228,880,8261,15412,908,11994
B1717,8,State - Rajasthan,Urban,Main Workers,Separated,6722,6922,144,,270,82,30,284,1003,45,650,0,571,57,160,0,11,56,377,2024,91,1067
B1717,8,State - Rajasthan,Urban,Main Workers,Divorced,4182,3935,57,,90,39,13,167,577,17,215,0,196,40,59,0,17,67,242,1642,47,450
B1717,8,State - Rajasthan,Urban,Marginal Workers,Total,268490,268347,31846,,52011,13372,1561,21686,34013,887,24047,18,9315,749,1793,10,170,921,3902,9442,6683,55921
B1717,8,State - Rajasthan,Urban,Marginal Workers,Never Married,41020,41240,3518,,4438,1013,111,3530,6027,83,1739,4,1141,78,158,0,65,256,559,2598,1033,14889
B1717,8,State - Rajasthan,Urban,Marginal Workers,Married,203136,202710,26640,,43176,11430,1307,16493,24699,688,18650,12,6871,580,1153,8,101,618,2823,5988,5214,36259
B1717,8,State - Rajasthan,Urban,Marginal Workers,Widowed,21670,21715,1602,,4020,860,113,1481,2729,102,3310,2,1168,76,425,2,4,37,468,639,383,4294
B1717,8,State - Rajasthan,Urban,Marginal Workers,Separated,1858,1818,63,,297,47,23,130,313,11,284,0,76,13,36,0,0,4,33,131,37,320
B1717,8,State - Rajasthan,Urban,Marginal Workers,Divorced,806,864,23,,80,22,7,52,245,3,64,0,59,2,21,0,0,6,19,86,16,159
B1717,9,State - Uttar Pradesh,Total,Total Female Workers,Total,15967953,15970268,3546355,,6135781,407201,6841,749235,451322,9905,202684,476,238010,37239,15989,370,14160,33452,130916,740155,796233,2453944
B1717,9,State - Uttar Pradesh,Total,Total Female Workers,Never Married,2405452,2402749,447505,,663665,38450,498,173054,133206,1418,18553,58,24576,4874,1784,69,5103,8152,20696,81492,124412,655184
